,Title,Year,Authors,Journal,Journal Acronym
0,Grid-guided Neural Radiance Fields for Large Urban Scenes.,2023,"Linning Xu, Yuanbo Xiangli, Sida Peng, Xingang Pan, Nanxuan Zhao, Christian Theobalt, Bo Dai, Dahua Lin", CVPR 2023: 8296-8306,cvpr
1,Voxurf: Voxel-based Efficient and Accurate Neural Surface Reconstruction.,2023,"Tong Wu, Jiaqi Wang, Xingang Pan, Xudong Xu, Christian Theobalt, Ziwei Liu, Dahua Lin", ICLR 2023,iclr
2,Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold.,2023,"Xingang Pan, Ayush Tewari, Thomas Leimkühler, Lingjie Liu, Abhimitra Meka, Christian Theobalt", SIGGRAPH  2023: 78:1-78:11,siggraph
3,AssetField: Assets Mining and Reconfiguration in Ground Feature Plane Representation.,2023,"Yuanbo Xiangli, Linning Xu, Xingang Pan, Nanxuan Zhao, Bo Dai, Dahua Lin",13953 ,corr
4,Grid-guided Neural Radiance Fields for Large Urban Scenes.,2023,"Linning Xu, Yuanbo Xiangli, Sida Peng, Xingang Pan, Nanxuan Zhao, Christian Theobalt, Bo Dai, Dahua Lin",14001 ,corr
5,HQ3DAvatar: High Quality Controllable 3D Head Avatar.,2023,"Kartik Teotia, Mallikarjun B. R., Xingang Pan, Hyeongwoo Kim, Pablo Garrido, Mohamed Elgharib, Christian Theobalt",14471 ,corr
6,GVP: Generative Volumetric Primitives.,2023,"Mallikarjun B. R., Xingang Pan, Mohamed Elgharib, Christian Theobalt",18193 ,corr
7,Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold.,2023,"Xingang Pan, Ayush Tewari, Thomas Leimkühler, Lingjie Liu, Abhimitra Meka, Christian Theobalt",10973 ,corr
8,AvatarStudio: Text-driven Editing of 3D Dynamic Human Head Avatars.,2023,"Mohit Mendiratta, Xingang Pan, Mohamed Elgharib, Kartik Teotia, Mallikarjun B. R., Ayush Tewari, Vladislav Golyanik, Adam Kortylewski, Christian Theobalt",00547 ,corr
9,MATLABER: Material-Aware Text-to-3D via LAtent BRDF auto-EncodeR.,2023,"Xudong Xu, Zhaoyang Lyu, Xingang Pan, Bo Dai",09278 ,corr
10,Exploiting Deep Generative Prior for Versatile Image Restoration and Manipulation.,2022,"Xingang Pan, Xiaohang Zhan, Bo Dai, Dahua Lin, Chen Change Loy, Ping Luo", 44: 7474-7489 ,pami
11,gCoRF: Generative Compositional Radiance Fields.,2022,"Mallikarjun B. R., Ayush Tewari, Xingang Pan, Mohamed Elgharib, Christian Theobalt", 3DV 2022: 567-576,3dim
12,GAN2X: Non-Lambertian Inverse Rendering of Image GANs.,2022,"Xingang Pan, Ayush Tewari, Lingjie Liu, Christian Theobalt", 3DV 2022: 711-721,3dim
13,Disentangled3D: Learning a 3D Generative Model with Disentangled Geometry and Appearance from Monocular Images.,2022,"Ayush Tewari, Mallikarjun B. R., Xingang Pan, Ohad Fried, Maneesh Agrawala, Christian Theobalt", CVPR 2022: 1506-1515,cvpr
14,BungeeNeRF: Progressive Neural Radiance Field for Extreme Multi-scale Scene Rendering.,2022,"Yuanbo Xiangli, Linning Xu, Xingang Pan, Nanxuan Zhao, Anyi Rao, Christian Theobalt, Bo Dai, Dahua Lin", ECCV  2022: 106-122,eccv
15,Disentangled3D: Learning a 3D Generative Model with Disentangled Geometry and Appearance from Monocular Images.,2022,"Ayush Tewari, Mallikarjun B. R., Xingang Pan, Ohad Fried, Maneesh Agrawala, Christian Theobalt",15926 ,corr
16,GAN2X: Non-Lambertian Inverse Rendering of Image GANs.,2022,"Xingang Pan, Ayush Tewari, Lingjie Liu, Christian Theobalt",09244 ,corr
17,Voxurf: Voxel-based Efficient and Accurate Neural Surface Reconstruction.,2022,"Tong Wu, Jiaqi Wang, Xingang Pan, Xudong Xu, Christian Theobalt, Ziwei Liu, Dahua Lin",12697 ,corr
